﻿FID;Nombre Estación;Troncal Estación;coord_x;coord_y;geopoint
36;Pepe Sierra;B;-74.05519296085502;4.698792581949131;4.69879258195, -74.0551929609
117;Calle 40 Sur;H;-74.12006578095634;4.575762198613781;4.57576219861, -74.120065781
103;Calle 22;A;-74.07471892602528;4.6115884537753455;4.61158845378, -74.074718926
58;Profamilia;A;-74.06976109522616;4.621479930205355;4.62147993021, -74.0697610952
21;San Martín;C;-74.06682418455874;4.676935169024435;4.67693516902, -74.0668241846
2;BOSA;G;-74.18157408602679;4.596794910987214;4.59679491099, -74.181574086
88;Ricaurte;F;-74.09029205511209;4.612809297343436;4.61280929734, -74.0902920551
86;Comuneros;G;-74.09991873497168;4.604096572532344;4.60409657253, -74.099918735
67;Maloka;K;-74.10497926117411;4.655965547307082;4.65596554731, -74.1049792612
97;De La Sabana;F;-74.08193928514005;4.605405101732745;4.60540510173, -74.0819392851
127;Perdomo;G;-74.16382172760403;4.595741047849207;4.59574104785, -74.1638217276
1;LA DESPENSA;G;-74.1876524312939;4.594799605072455;4.5947996050699995, -74.1876524313
63;Marly;A;-74.06680016450638;4.637419924114406;4.63741992411, -74.0668001645
41;La Campiña;C;-74.09032935226436;4.741825300926504;4.7418253009299995, -74.0903293523
11;Avenida Ciudad de Cali;D;-74.100690474039;4.702740500892582;4.70274050089, -74.100690474
5;SAN MATEO;G;-74.20571942374659;4.585803019673449;4.58580301967, -74.2057194237
133;NQS - Calle 38A Sur;G;-74.12492464346231;4.593655681150932;4.5936556811500004, -74.1249246435
129;Sevillana;G;-74.14849945845023;4.5951805989402335;4.59518059894, -74.1484994585
66;Gran Estación;K;-74.10112265711545;4.64998517327598;4.64998517328, -74.1011226571
82;Mundo Aventura;F;-74.13522421177537;4.630139609428251;4.63013960943, -74.1352242118
148;Calle 187;B;-74.04432166516929;4.764311898132313;4.76431189813, -74.0443216652
50;Toberín;B;-74.04715743362054;4.746938387958248;4.74693838796, -74.0471574336
105;Museo Nacional;L;-74.06926419751663;4.615095915048115;4.61509591505, -74.0692641975
115;Biblioteca;H;-74.13011639196819;4.570360310628938;4.57036031063, -74.130116392
87;CDS - Cr 32;F;-74.09396756599597;4.616082602459654;4.61608260246, -74.093967566
96;Tercer Milenio;H;-74.08384632224997;4.5980639967443615;4.59806399674, -74.0838463222
15;NQS - Calle 75;E;-74.07073016272037;4.670850738103501;4.6708507381, -74.0707301627
130;Venecia;G;-74.1416317895941;4.595545533115961;4.59554553312, -74.1416317896
44;21 Angeles;C;-74.08041303220098;4.735037729523184;4.73503772952, -74.0804130322
46;Calle 142;B;-74.05050349096724;4.726878586830772;4.72687858683, -74.050503491
10;Avenida Boyac;D;-74.08749780769158;4.694248400221741;4.69424840022, -74.0874978077
62;Calle 45;A;-74.06790330825169;4.631288565728641;4.63128856573, -74.0679033083
77;Patio Bonito;F;-74.16464478203366;4.633109510274817;4.63310951027, -74.164644782
107;CAD;E;-74.08418590159705;4.623363196005748;4.62336319601, -74.0841859016
